question,answer,unit,category,funFact
Year Google was founded by Larry Page and Sergey Brin,1998,year,Weird Facts,It started as a Stanford research project called 'BackRub'.
Number of cells in the average adult human body (trillions),37,trillion,Weird Facts,"The exact count varies, but ~37 trillion is the most cited scientific estimate."
"Year the first ATM was installed (Barclays Bank, London)",1967,year,Weird Facts,John Shepherd-Barron is credited with the invention.
Year the first commercial cell phone (Motorola DynaTAC) launched,1983,year,Weird Facts,"It cost nearly $4,000 and was nicknamed 'The Brick'."
Year the first mass-market mobile text message (SMS) was sent,1992,year,Weird Facts,The message simply said 'Merry Christmas' from Neil Papworth to Richard Jarvis.
Number of people who can dance the same TikTok choreography simultaneously (record),5000,people,Weird Facts,The largest TikTok dance flash mob was held in Manila in 2022.
Year Disney+ launched in the US,2019,year,Global,It launched in November 2019 with The Mandalorian as its flagship original.
Year Spotify launched in the US,2011,year,Global,It had been available in Europe for three years before US expansion.
Number of subscribers Netflix had at the end of 2023 (millions),260,million,Global,Netflix's password-sharing crackdown drove major subscriber growth in 2023.
Year Pokemon Go was first released globally,2016,year,Global,It became one of the most downloaded mobile apps within weeks.
Year the first iPhone was released,2007,year,Global,Steve Jobs unveiled it at Macworld in January 2007.
Year ChatGPT crossed 100 million users (in months from launch),2,months,Global,It was the fastest-growing consumer app in history at that point.
Number of countries that border China,14,countries,Global,China shares borders with more countries than any other nation (tied with Russia).
Number of official languages recognized in South Africa,12,languages,Global,South African Sign Language became the 12th official language in 2023.
Number of countries the Nile river passes through,11,countries,Global,It flows through 11 African countries before reaching the Mediterranean.
Year the country of South Sudan officially became independent,2011,year,Global,It is the world's newest sovereign country.
Year Princess Diana died in Paris,1997,year,Global,She died in a car crash in the Pont de l'Alma tunnel.
Year the September 11 attacks took place,2001,year,Global,"The attacks killed nearly 3,000 people in the United States."
Year Barack Obama was first elected as US President,2008,year,Global,He became the first African-American to hold the office.
Year COVID-19 was declared a global pandemic by WHO,2020,year,Global,"WHO made the declaration on March 11, 2020."
Year Queen Elizabeth II passed away,2022,year,Global,She was the longest-reigning monarch in British history.
Number of pages in J.R.R. Tolkien's Lord of the Rings trilogy (combined),1216,pages,Global,The trilogy was originally written as one novel before being split for publication.
Year Harper Lee published 'To Kill a Mockingbird',1960,year,Global,It won the Pulitzer Prize the following year.
Year George Orwell published the novel '1984',1949,year,Global,The book was actually written in 1948 — Orwell just reversed the digits.
Year MS Dhoni became captain of the Indian cricket team in all formats,2008,year,Sports,He led India to multiple ICC trophies including the 2011 World Cup.
Year Virat Kohli scored his first international century,2009,year,Sports,It came in just his 14th ODI innings against Sri Lanka.
Total ODI centuries scored by Virat Kohli (as of 2024),50,centuries,Sports,He surpassed Sachin Tendulkar's 49 ODI centuries during the 2023 World Cup.
Year the legendary 'Tied Test' between Australia and West Indies occurred,1960,year,Sports,It was the first tied Test in cricket history.
Year Shahid Afridi scored his then-fastest ODI century (37 balls),1996,year,Sports,His debut bat at age 16 against Sri Lanka took 37 balls.
Year FIFA was officially recognized to oversee international football,1904,year,Sports,It was founded in Paris by representatives of 7 European nations.
Year the Liverpool 'Miracle of Istanbul' Champions League final took place,2005,year,Sports,Liverpool came back from 3-0 down at halftime to beat AC Milan on penalties.
Year Greece won the UEFA European Championship,2004,year,Sports,One of the biggest upsets in football tournament history.
Year Leicester City won the English Premier League title,2016,year,Sports,"Pre-season odds for Leicester to win were 5,000-to-1."
Year Italy won the FIFA World Cup most recently,2006,year,Sports,The final against France is remembered for Zidane's headbutt.
Year France won the FIFA World Cup for the first time,1998,year,Sports,"They beat Brazil 3-0 in the final, with Zidane scoring twice."
Year Mashrafe Mortaza made his international debut for Bangladesh,2001,year,Sports,He is considered one of the most successful captains in BD cricket history.
Year Bangladesh first qualified for the Asia Cup final,2012,year,Sports,They lost the final to Pakistan by just 2 runs in Mirpur.
Highest partnership in ODI cricket history (runs),372,runs,Sports,Set by Marlon Samuels and Chris Gayle for the West Indies in 2015.
Most sixes hit in an international cricket career (any format combined),553,sixes,Sports,"Chris Gayle holds this record across Test, ODI and T20I formats."
Average price of a used Toyota Corolla 2013 model in Bangladesh as of 2026 (lakh BDT),13,lakh BDT,Price,A 13-year-old Corolla in Bangladesh still costs more than a brand-new one in the US — thanks to import duties.
Average price of a used Toyota Allion 2015 model in Bangladesh as of 2026 (lakh BDT),22,lakh BDT,Price,"The Allion is the upgraded sibling of the Corolla, popular among middle-class Dhaka families."
Average price of a used Honda CR-V 2018 model in Bangladesh as of 2026 (lakh BDT),45,lakh BDT,Price,Used SUVs hold their value remarkably well in the BD market due to high import taxes.
Average price of a used Toyota Premio 2014 model in Bangladesh as of 2026 (lakh BDT),18,lakh BDT,Price,The Premio is the unofficial sedan of Bangladeshi government officials and well-off uncles.
Average price of a used Toyota Land Cruiser Prado 2016 in Bangladesh as of 2026 (lakh BDT),95,lakh BDT,Price,Owning a Prado in Bangladesh is a flex; importing one costs nearly as much as a 3-bedroom flat in Mirpur.
Average price of a used Toyota Axio 2017 model in Bangladesh as of 2026 (lakh BDT),17,lakh BDT,Price,The Axio is the entry-level sedan dream for first-time car buyers.
Average price of a brand-new Toyota Yaris (base) in Bangladesh as of 2026 (lakh BDT),38,lakh BDT,Price,Bangladesh has one of the highest car import duties in the world — over 200 percent on some models.
Average price of a used Suzuki Swift 2016 model in Bangladesh as of 2026 (lakh BDT),11,lakh BDT,Price,The Swift is one of the few entry-level imported cars affordable for new buyers.
Average price of a used Toyota Aqua hybrid 2015 in Bangladesh as of 2026 (lakh BDT),13,lakh BDT,Price,Hybrids became massively popular in BD after fuel prices doubled in 2022.
Average price of a used Mitsubishi Pajero 2015 in Bangladesh as of 2026 (lakh BDT),55,lakh BDT,Price,The Pajero is the rugged uncle of Bangladeshi SUVs — beloved for highway trips to Sylhet.
Average price of a used Honda Vezel 2017 model in Bangladesh as of 2026 (lakh BDT),27,lakh BDT,Price,The Vezel became a status symbol for young professionals in Dhaka post-2020.
Average price of a used Toyota Harrier 2018 model in Bangladesh as of 2026 (lakh BDT),70,lakh BDT,Price,The Harrier is the luxury SUV that says 'I made it' in Dhaka.
"Cost of registering a new private car in Bangladesh BRTA (under 1500cc, thousand BDT) (2024)",53,thousand BDT,Price,"Registration fees include road tax, fitness fee, and number plate cost."
Cost of a CNG conversion kit installation in Dhaka as of 2026 (thousand BDT),90,thousand BDT,Price,Many car owners convert to CNG to save on rising fuel costs.
Price of a 'shingara' at most Dhaka tea stalls in 2026 (BDT),10,BDT,Price,Shingara prices doubled from 5 BDT to 10 BDT during inflation in 2023.
Price of a 'cha' (regular milk tea) at a Dhaka tea stall in 2026 (BDT),15,BDT,Price,The 'cha shop adda' culture is sacred in Bangladeshi street life.
Price of a 'special cha' at TSC (Dhaka University) tea stalls in 2024 (BDT),25,BDT,Price,Special cha at TSC is part of Dhaka University folklore for generations of students.
Price of a 1kg whole Hilsa fish (1kg+ size) at peak season in Dhaka 2024 (BDT),1800,BDT,Price,Hilsa is so expensive it's often gifted instead of bought for personal use.
Price of 1 kg Premium Bashmati Aarong Rice in Dhaka as of 2024 (BDT),220,BDT,Price,Aarong rice is the premium brand under BRAC's umbrella.
"Price of 1 box (200 sticks) of Habiba mosquito coil in Dhaka (2024, BDT)",80,BDT,Price,Mosquito coils are a household essential during dengue season.
Average monthly electricity bill for a 3-bedroom Dhaka apartment 2024 (BDT),4500,BDT,Price,Bills have spiked since the 2022 fuel crisis and tariff hikes.
Price of 1 month of Robi 4G '15 GB' mobile data pack in 2024 (BDT),198,BDT,Price,Mobile data prices have risen but Bangladesh still has cheap data compared to most countries.
Price of an Eid 'shemai' premium gift box at Cooper's Dhaka 2024 (BDT),850,BDT,Price,Cooper's is the iconic premium bakery brand in Dhaka.
"Cost of a private MBBS admission seat at top BD private medical colleges (lakh BDT, 2024)",30,lakh BDT,Price,Medical college admission fees are among the highest education costs in Bangladesh.
Tuition cost per semester at North South University (NSU) Dhaka as of 2024 (thousand BDT),120,thousand BDT,Price,NSU is the most prestigious private university in Bangladesh.
Tuition cost per semester at BRAC University Dhaka as of 2024 (thousand BDT),110,thousand BDT,Price,BRAC University offers premium private education in liberal arts and STEM.
Cost of one piece of 'beguni' (eggplant fritter) during Iftar in Dhaka 2024 (BDT),10,BDT,Price,Beguni is an essential item on every Bengali iftar plate during Ramadan.
Price of a typical Iftar box at Star Kabab during Ramadan 2024 (BDT),350,BDT,Price,Star Kabab Iftar boxes are a Ramadan tradition in Dhaka.
Cost of a wedding 'rongin photo album' (premium) in Dhaka 2024 (thousand BDT),35,thousand BDT,Price,Wedding photography has become a major industry in Bangladesh.
Cost of a basic Holud (Gaye Holud) decoration package in Dhaka 2024 (thousand BDT),50,thousand BDT,Price,BD wedding events have inflated dramatically — sometimes the holud costs more than the wedding itself.
"Cost of a single haircut at a premium Dhaka salon (e.g., Persona) in 2024 (BDT)",1200,BDT,Price,Persona is one of the most popular premium beauty chains in Bangladesh.
Cost of a basic Persona Spa facial for women in Dhaka 2024 (BDT),2500,BDT,Price,Persona's premium services attract upper-middle-class urban women.
Cost of a 1-hour massage at a Dhaka 5-star hotel spa 2024 (thousand BDT),6,thousand BDT,Price,Five-star hotel spas in Dhaka have prices similar to mid-range US spas.
Cost of a 12-month gym membership at Goldengate Fitness Dhaka 2024 (thousand BDT),35,thousand BDT,Price,Premium gym chains have proliferated in Dhaka since 2020.
Cost of a single visit to a top general physician in Dhaka 2024 (BDT),1500,BDT,Price,Doctor's visit fees vary widely from 300 BDT at clinics to 3000+ BDT at top private practices.
Average roundtrip economy airfare NYC to Dhaka in low season 2024 (USD),1200,USD,Price,"Qatar Airways, Emirates, and Turkish Airlines dominate this route."
Average roundtrip economy airfare NYC to Dhaka during winter peak 2024 (USD),1800,USD,Price,Prices spike dramatically during the December-January diaspora travel season.
Average roundtrip economy airfare from London to Dhaka 2024 (GBP),700,GBP,Price,Biman Bangladesh has direct flights from London Heathrow to Dhaka.
Cost of a US tourist visa application fee for Bangladeshi citizens in USD 2024,185,USD,Price,The MRV fee was raised from $160 to $185 in mid-2023.
Cost of a UK Standard Visitor Visa application fee for BD citizens 2024 (GBP),115,GBP,Price,UK visa fees have risen steadily after Brexit.
Cost of remitting $1000 via Western Union from US to Bangladesh in fees 2024 (USD),5,USD,Price,WU often offers $0 fee promos but the markup is in the exchange rate.
Annual fee for a US passport processing in regular service (adult) 2024 (USD),165,USD,Price,Plus a $35 acceptance fee for first-time applicants.
Cost of an annual Costco Executive membership in the US 2024 (USD),130,USD,Price,The Executive tier provides 2% cash back on Costco purchases.
Launch price of the original Beats by Dre Studio headphones 2008 (USD),350,USD,Price,Dr. Dre's headphone brand was acquired by Apple in 2014 for $3 billion.
Launch price of the Bose QuietComfort 35 II headphones 2017 (USD),350,USD,Price,Premium ANC headphones became a remote-work essential during COVID.
Cost of the original Snapchat Spectacles (V1) at launch 2016 (USD),130,USD,Price,Snap sold them via 'Snapbot' vending machines — a marketing stunt.
Launch price of the Microsoft Kinect for Xbox 360 in 2010 (USD),150,USD,Price,Kinect was Microsoft's failed answer to the Wii Remote.
Launch price of the original Sega Genesis console in the US 1989 (USD),189,USD,Price,It famously battled the Super Nintendo for 16-bit supremacy.
Launch price of the original Atari 2600 in the US in 1977 (USD),199,USD,Price,It came bundled with the game Combat and a pair of joysticks.
Cost of placing a regular Pathao food delivery order minimum charge in Dhaka 2024 (BDT),30,BDT,Price,Pathao Food and Foodpanda dominate the food delivery market in BD.
Average delivery fee for a Foodpanda order within Dhaka in 2024 (BDT),49,BDT,Price,"Foodpanda is owned by Germany-based Delivery Hero, operating worldwide."
Monthly subscription fee for Netflix Mobile plan in Bangladesh 2024 (BDT),150,BDT,Price,Netflix offers a mobile-only plan in Bangladesh at a sharply discounted rate.
Monthly subscription fee for Toffee streaming app premium in BD 2024 (BDT),50,BDT,Price,Toffee is a Bangladeshi OTT platform popular for live cricket streaming.
Cost of a Banglalink 1GB single-day data pack in 2024 (BDT),19,BDT,Price,Mobile operators heavily compete on short-duration data packs.
"Cost of a 1-month Equinox gym membership (Tier 1, NYC) 2024 (USD)",305,USD,Price,Equinox is famously priced as a status symbol for NYC professionals.
Cost of a 1-month SoulCycle unlimited classes package in NYC 2024 (USD),285,USD,Price,SoulCycle helped invent the boutique-fitness pricing model.
Cost of one Peloton Bike+ at launch in the US 2020 (USD),2495,USD,Price,Peloton stock peaked during COVID and crashed after gyms reopened.
Average cost of a single Erewhon smoothie in Los Angeles 2024 (USD),20,USD,Price,Erewhon's smoothies became a viral TikTok status symbol.
Cost of one Hailey Bieber Erewhon strawberry skin glaze smoothie in LA 2024 (USD),17,USD,Price,Celebrity smoothie collaborations are now a thing.
Average annual cost of childcare for one child in the US in 2024 (rounded thousand),11,thousand USD,Price,Childcare costs more than college in many US states.
Average cost of an Invisalign treatment (clear braces) in the US 2024 (USD),5000,USD,Price,Roughly 1.5 million Americans started Invisalign treatment in 2023.
Average cost of LASIK eye surgery (both eyes) in the US 2024 (USD),4400,USD,Price,LASIK costs have stayed remarkably stable over the past decade.
Average ticket price for a Coke Studio Bangla concert event in Dhaka 2024 (BDT),5000,BDT,Price,Coke Studio Bangla became a cultural phenomenon since launching in 2022.
Average price of a Dhaka Lit Fest weekend pass 2024 (BDT),1000,BDT,Price,Dhaka Lit Fest is one of South Asia's premier literary festivals.
"Cost of a Bangladesh Premier League (BPL) cricket match ticket - Gallery (2024, BDT)",200,BDT,Price,BPL ticket prices range from gallery to corporate boxes.
Cost of a single-entry general adult ticket to the National Museum in Dhaka 2024 (BDT),100,BDT,Price,The National Museum has been renovated multiple times since 2000.
"Average monthly rent for a 3-bedroom apartment in Gulshan, Dhaka 2024 (thousand BDT)",85,thousand BDT,Price,Gulshan and Banani are the most expensive residential areas in Dhaka.
"Average monthly rent for a 2-bedroom apartment in Dhanmondi, Dhaka 2024 (thousand BDT)",45,thousand BDT,Price,Dhanmondi is a popular middle-to-upper class residential area.
"Average monthly rent for a 1-bedroom apartment in Mirpur DOHS, Dhaka 2024 (thousand BDT)",22,thousand BDT,Price,Mirpur DOHS is a quieter neighborhood favored by retired military personnel.
Average price per square foot for a new flat in Bashundhara R/A Dhaka 2024 (thousand BDT),12,thousand BDT,Price,Bashundhara is one of the largest planned residential areas in Dhaka.
Average price per square foot of land in Gulshan Avenue Dhaka in lakh BDT (2024),75,lakh BDT,Price,Gulshan land prices rival some of Asia's most expensive cities.
Price of a single 'Burger King Chicken Whopper' in Dhaka 2024 (BDT),530,BDT,Price,Burger King's pricing in BD is significantly lower than its US counterpart.
Price of a single 'Crispy Chicken' meal at Khalifa Dhaka 2024 (BDT),300,BDT,Price,Khalifa is a popular local Bangladeshi fried chicken chain.
Average price of a Pizza Hut large pepperoni pizza in Dhaka 2024 (BDT),1500,BDT,Price,Pizza Hut's BD operations are franchised by Transcom Foods Limited.
Price of one 5lb bag of Lal Qilla basmati rice in a US Bangladeshi grocery 2024 (USD),18,USD,Price,Lal Qilla and Daawat are the most popular basmati brands among diaspora.
Price of a 1lb Hilsa fish at NYC Bangladeshi grocery store 2024 (USD),22,USD,Price,Imported Hilsa in the US sells at 2-3x the price in Bangladesh.
Price of a Bangladeshi wedding catering buffet per head in NYC 2024 (USD),65,USD,Price,BD-American weddings typically host 300-700 guests at this price point.
Cost of a one-way Boltbus / Greyhound NYC to DC for South Asian community trips 2024 (USD),30,USD,Price,Discount bus lines became the go-to for college students and recent immigrants.
"Price of 1 Bitcoin in USD on January 1, 2017 (rounded)",998,USD,Price,"Bitcoin started its first major bull run that year, ending at $19,000+."
Price of 1 Bitcoin in USD at its November 2021 all-time high (rounded thousand),69,thousand USD,Price,Bitcoin would cross this level again in 2024 after the spot ETF launch.
Price of 1 Ethereum (ETH) in USD at its November 2021 peak (rounded),4800,USD,Price,ETH peaked alongside Bitcoin during the 2021 crypto bull market.
Price of 1 NFT 'Bored Ape Yacht Club' floor at its peak in 2022 (rounded thousand USD),400,thousand USD,Price,The NFT bubble peaked in early 2022 before collapsing through 2023.
Year Sam Bankman-Fried's crypto exchange FTX collapsed,2022,year,Price,FTX's collapse wiped out an estimated $8 billion in customer funds.
"Cost of a single Taylor Swift Eras Tour ticket (US average resale, 2024 in USD)",1300,USD,Price,The Eras Tour grossed over $2 billion worldwide.
Average resale ticket price for Lionel Messi's MLS debut for Inter Miami 2023 (USD),1200,USD,Price,His debut crashed StubHub as ticket demand outpaced regular MLS pricing 50x.
"Cost of a single ticket for the Drake-Kendrick rap feud listening party at Pop Out (2024, USD)",800,USD,Price,Kendrick Lamar's 'Pop Out' show at LA's Kia Forum sold out in minutes.
"Cost of a 'golden iPhone' custom Caviar version of iPhone 16 Pro (2024 USD, rounded thousand)",18,thousand USD,Price,Caviar makes custom luxury phones — a few sell to Middle Eastern royalty.
"Cost of one Hermès Birkin bag at retail (base model, 2024 USD, rounded thousand)",12,thousand USD,Price,Resale prices can run 3-10x retail due to artificial scarcity.
Cost of a single ticket on Elon Musk's SpaceX Starlink Inspiration4 mission 2021 (millions USD),50,million USD,Price,Tech billionaire Jared Isaacman bought all 4 seats and donated proceeds.
"Cost of attending Burning Man (general admission, 2024 USD)",575,USD,Price,Burning Man tickets sell out within hours despite the harsh desert conditions.
"Cost of a Davos World Economic Forum membership annual fee for partner companies (thousand USD, 2024)",700,thousand USD,Price,The Davos crowd pays this just to access closed-door sessions.
Year the first ever video was uploaded to YouTube (fun fact: uploader Jawed Karim was born to a Bangladeshi father),2005,year,Desh,"Me at the zoo' uploaded by Jawed Karim on April 23, 2005 has 391+ million views — his father Naimul Karim is Bangladeshi."
Length of the first ever YouTube video 'Me at the zoo' in seconds (uploaded by Bangladeshi-origin Jawed Karim),19,seconds,Desh,Jawed Karim's father is from Bangladesh — the 19-second elephant video has been watched 391+ million times.
"Year Sal Khan founded Khan Academy (who's father was from Barisal, Bangladesh)",2008,year,Desh,"Sal Khan's father Fakhrul Amin Khan was from Rahmatpur village, Babuganj Upazila — making Khan Academy a Bangladeshi-American success story."
Number of video lessons on Khan Academy as of 2024 (founder Sal Khan's father was Bangladeshi),6500,video lessons,Desh,Sal Khan personally created the first thousands of these from his closet — his father hailed from Barisal.
Year Sal Khan was born in Louisiana (Khan Academy founder of Bangladeshi descent),1976,year,Desh,Sal Khan's father Fakhrul Amin Khan was a Bangladeshi physician who immigrated to the US.
Year Hamza Choudhury officially switched his football allegiance to Bangladesh,2024,year,Desh,The Leicester City FA Cup winner became the first Premier League player to represent Bangladesh.
Year Hamza Choudhury (Bangladeshi Footballer) won the FA Cup with Leicester City,2021,year,Desh,He scored the assist against Chelsea in the historic 1-0 final at Wembley.
FIFA world ranking of Bangladesh men's football team in early 2025,185,rank,Desh,Hamza Choudhury's arrival was meant to be a turning point for Bangladeshi football.
Bangladesh's ranking in the Corruption Perceptions Index in 2024 (out of 180 countries),151,rank,Desh,Bangladesh scored 23 out of 100 — its worst score in 13 years according to Transparency International.
Bangladesh's rank from the bottom in the 2024 Corruption Perceptions Index,14,rank,Desh,"Only 13 countries scored worse — including Afghanistan, Syria, and South Sudan."
Average vehicle speed in Dhaka city in km/h as of 2022 (according to BUET study),5,km/h,Desh,Dhaka was ranked the slowest city in the world — a brisk walk is faster than driving.
Number of minutes per 2 hours a Dhaka commuter spends in traffic (CPD survey),46,minutes,Desh,Nearly 40 percent of your travel time is just sitting still.
Total spent on Dhaka traffic infrastructure megaprojects in last decade in thousand crore BDT,135,thousand crore BDT,Desh,"Despite the spending spree, average speed actually dropped from 21 to 5 km/h."
Bangladesh's rank globally in air pollution among countries as of 2024 (worst air quality),1,rank,Desh,Bangladesh has had the worst air quality in the world multiple years running.
Year Bangladesh became the most polluted country globally in IQAir's rankings,2023,year,Desh,Bangladesh has retained the dubious top spot in air pollution rankings consistently since.
Number of people Bangladesh's population density places per square kilometer (approx) (2024),1265,people,Desh,Bangladesh has the highest population density of any country its size or larger.
"Number of people who formed the world's largest human flag in Dhaka, December 16, 2013",27117,people,Desh,Robi Axiata sponsored this Guinness World Record-breaking spectacle on Victory Day.
"Number of people who sang Bangladesh's national anthem simultaneously for Guinness Record (March 26, 2014)",254537,people,Desh,"They broke India's previous record set in Lucknow with 121,653 people."
Year Bangladesh set the Guinness World Record for largest national anthem singing,2014,year,Desh,Held at the National Parade Ground on Independence Day.
Number of seconds Bangladesh's record-breaking human flag was held up,374,seconds,Desh,6 minutes 14 seconds was over a minute longer than required to set the Guinness Record.
Number of people who broke the Guinness record for longest line of bananas in Bangladesh 2014,75000,bananas,Desh,"Bangladesh University students arranged 75,000 bananas in a line spanning over 6 km."
"Year Diplo performed his iconic concert in Dhaka, Bangladesh",2017,year,Desh,He played at Le Méridien Dhaka's Sky Ballroom in April 2017 — the first major Western DJ event post-Holey Artisan.
Year the band 'Coke Studio Bangla' first launched its debut season,2022,year,Desh,It revolutionized Bangladeshi music with fusion arrangements of traditional Bengali songs.
"Number of streams of 'Nasek Nasek' by Coke Studio Bangla on YouTube (millions, 2024)",100,million,Desh,It became the most viewed Coke Studio Bangla track and a global Bengali music milestone.
Number of original songs in 'Nasek Nasek' Coke Studio Bangla performance,3,songs,Desh,It blends three Khasi and traditional folk songs into one fusion track.
Year the famous British Bangladeshi 'Chicken Tikka Masala' was reportedly invented in Glasgow,1971,year,Desh,"Chef Ali Ahmed Aslam, a Bangladeshi-Sylheti immigrant, is credited with creating the British national dish."
Estimated percentage of UK Indian restaurants that are actually Bangladeshi-owned,80,percent,Desh,"Most 'curry houses' in the UK are owned by Sylheti Bangladeshis, not Indians."
Year Bangladesh became the world's top jute producer (modern era),2007,year,Desh,Bangladesh overtook India as the leading jute exporter after a decade of decline.
Year Bangladesh became the world's 8th most populous country,2020,year,Desh,BD surpassed Russia's population around this time despite being 1/120th the geographic size.
Year Bangladesh first appeared at the Olympic Games,1984,year,Desh,Bangladesh has competed in every Summer Olympics since the 1984 LA Games.
Number of athletes Bangladesh sent to the 2024 Paris Olympics,5,athletes,Desh,BD is the most populous country to send fewer than 10 athletes to Paris 2024.
"Year Mohammed Yunus, Bangladeshi economist, became Chief Adviser of the Bangladesh interim government",2024,year,Desh,"After the July 2024 uprising, Yunus took over the Bangladesh interim administration."
Year of the historic 'July Uprising' that overthrew Sheikh Hasina's government,2024,year,Desh,Student-led protests against the quota system grew into a national movement.
Number of years Sheikh Hasina ruled Bangladesh continuously before the July 2024 ouster,15,years,Desh,She was prime minister continuously from 2009 until August 2024.
Year Bangladesh's Sheikh Hasina fled to India during the July uprising,2024,year,Desh,"She was airlifted to India on August 5, 2024 as protesters stormed Ganabhaban."
Year Bangladeshi-British politician Rushanara Ali was first elected to UK Parliament,2010,year,Desh,She was the first British MP of Bangladeshi origin.
Year Bangladeshi-American Hansen Clarke was elected to the US Congress,2010,year,Desh,He represented Michigan's 13th district — the first Bangladeshi-American Congressman.
Year the iconic Bangladeshi singer Runa Laila set the Guinness Record for recording 30 songs in 1 day,1982,year,Desh,She recorded all 30 songs in just 6 hours at an EMI Pakistan studio.
Number of songs Runa Laila has performed in across 17+ languages (commonly cited),10000,songs,Desh,She is one of the most prolific subcontinental playback singers ever.
Year Bangladesh's 'Beder Meye Josna' became the highest-grossing Bangladeshi film for decades,1989,year,Desh,The film reportedly outsold even Hollywood blockbusters in Bangladesh that year.
Year Bangladesh became the largest source of garment exports to the US (overtaking China for value),2024,year,Desh,Bangladesh briefly overtook China in cotton apparel imports to the US in 2024.
Bangladesh's rank globally in remittance receipts per year (2024),7,rank,Desh,Bangladesh receives over $24 billion annually from its 13M+ overseas diaspora.
Total remittance received by Bangladesh in fiscal year 2023-24 in billions USD (rounded),24,billion USD,Desh,Remittances are Bangladesh's second-largest source of foreign exchange after RMG exports.
"Number of Bangladeshi nationals working overseas as of 2024 (millions, rounded)",13,million,Desh,"Saudi Arabia, UAE, Malaysia, and Singapore are top destinations."
Year Bangladesh's Sundarbans hit a record 114 confirmed Royal Bengal Tigers in census,2018,year,Desh,The tiger population recovered slightly after years of decline.
Number of Royal Bengal Tigers remaining in the Sundarbans (2024 estimate),125,tigers,Desh,Sundarbans tigers are the only mangrove-dwelling tigers on Earth.
Number of mosques in Dhaka (commonly cited figure for the 'city of mosques'),6000,mosques,Desh,Dhaka is often called the 'city of mosques' for its sheer density.
Year the Dhaka Mosque City moniker was first popularized,1610,year,Desh,Mughal-era Dhaka had a mosque on virtually every block.
Year a Bangladeshi-American Zohran Mamdani was elected to NY State Assembly,2020,year,Desh,"He represents Astoria, Queens — a NYC neighborhood with a large BD diaspora."
Year Zohran Mamdani launched his NYC mayoral campaign,2024,year,Desh,His campaign became one of the most-watched insurgent mayoral runs in NYC history.
Number of US states with a Bangladeshi-American elected to state legislature as of 2024,5,states,Desh,"NY, MI, NJ, GA, and PA have all elected BD-Americans to state-level office."
Year the Kardashian-Jenner family first appeared on E! reality TV (Keeping Up With...),2007,year,Global,The 14-season run made the family into a global household name.
Number of seasons of Keeping Up with the Kardashians on E!,20,seasons,Global,It ran from 2007 to 2021 before moving to Hulu under a new title.
Year Kim Kardashian's infamous tape leaked to the public,2007,year,Global,"The same year their reality show launched — pure coincidence, of course."
"Combined Instagram followers of Kim Kardashian as of 2024 (millions, rounded)",360,million,Global,She is one of the most-followed accounts on Instagram globally.
"Kylie Jenner's net worth at her peak as 'youngest self-made billionaire' (2019, billions USD)",1,billion USD,Global,"Forbes later revoked the billionaire title, calling the claim inflated."
Year Mark Zuckerberg appeared before the US Congress over Cambridge Analytica,2018,year,Global,"The hearings became a meme-worthy moment featuring 'Senator, we run ads'."
Year Elon Musk smoked weed on the Joe Rogan podcast,2018,year,Global,Tesla stock tanked 6 percent the next day.
Year Twitter banned Donald Trump's account,2021,year,Global,"After January 6th, but he was reinstated after Musk's acquisition."
Year Trump was reinstated on Twitter / X by Elon Musk,2022,year,Global,Musk used a public Twitter poll to make the decision.
Year MrBeast (Jimmy Donaldson) crossed 100 million YouTube subscribers (2024),2022,year,Global,He has since crossed 300 million subscribers — the most for any individual.
"Number of subscribers MrBeast has on YouTube as of mid-2024 (millions, rounded)",300,million,Global,MrBeast became the most-subscribed YouTube channel globally.
Number of times Elon Musk publicly challenged Mark Zuckerberg to a cage fight,1,times,Global,The legendary 2023 'cage match' challenge — that never actually happened.
Year Sam Altman was briefly fired and rehired as OpenAI CEO (within 5 days),2023,year,Global,The November 2023 OpenAI boardroom drama lasted just 5 days.
Year FTX founder Sam Bankman-Fried was convicted of fraud,2023,year,Global,He was sentenced to 25 years in federal prison in March 2024.
Year Elizabeth Holmes (Theranos) was convicted of fraud,2022,year,Global,She was sentenced to over 11 years in prison.
Year Adam Neumann (WeWork founder) was ousted as CEO,2019,year,Global,His ouster came after WeWork's failed IPO attempt — chronicled in the show 'WeCrashed'.
Year Bernie Madoff's Ponzi scheme collapsed,2008,year,Global,His $65 billion fraud is the largest in financial history.
Year 'Damn Daniel' became a viral meme on Vine,2016,year,Global,"The 'Damn Daniel, back at it again with the white Vans' video aired on Ellen DeGeneres."
Year Vine was officially shut down by Twitter,2017,year,Global,Twitter axed Vine despite millions of fans — many creators moved to TikTok.
Year the 'Harlem Shake' became a global viral dance meme,2013,year,Global,Spawned tens of thousands of imitation videos in just weeks.
Year 'Despacito' by Luis Fonsi broke the 5 billion views on YouTube barrier,2018,year,Global,It was the first YouTube video to ever reach 5 billion views.
Year the song 'Gangnam Style' by Psy was released,2012,year,Global,It was the first YouTube video to cross 1 billion views.
Number of views 'Baby Shark Dance' has on YouTube as of 2024 (billions),14,billion,Global,It is the most-viewed YouTube video of all time.
Year 'Stranger Things' got the 'Running Up That Hill' by Kate Bush a return to #1,2022,year,Global,Season 4's plot point sent the 1985 Kate Bush song back to global charts.
Year Taylor Swift released the album '1989' originally,2014,year,Global,She re-recorded it as 'Taylor's Version' in 2023 due to her masters dispute.
